진료년도,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,서울,광진구,여,10~19세,0,0,0
2018,서울,광진구,여,20~29세,0,0,0
2018,서울,광진구,여,30~39세,0,0,0
2018,서울,광진구,여,40~49세,0,0,0
2018,서울,광진구,여,50~59세,51,248,26254030
2018,서울,광진구,여,60~69세,242,860,85178290
2018,서울,광진구,여,70~79세,822,4823,401365670
2018,서울,광진구,여,80~89세,1013,12737,885518710
2018,서울,광진구,여,90~99세,237,3885,244677470
2018,서울,광진구,여,100세 이상,0,0,0
2018,서울,강북구,남,0~9세,0,0,0
2018,서울,강북구,남,10~19세,0,0,0
2018,서울,강북구,남,20~29세,0,0,0
2018,서울,강북구,남,30~39세,0,0,0
2018,서울,강북구,남,40~49세,0,0,0
2018,서울,강북구,남,50~59세,0,0,0
2018,서울,강북구,남,60~69세,36,599,39281440
2018,서울,강북구,남,70~79세,186,3575,234422540
2018,서울,강북구,남,80~89세,165,2872,195483400
2018,서울,강북구,남,90~99세,36,1871,142121520
2018,서울,강북구,남,100세 이상,0,0,0
2018,서울,강북구,여,0~9세,0,0,0
2018,서울,강북구,여,10~19세,0,0,0
2018,서울,강북구,여,20~29세,0,0,0
2018,서울,강북구,여,30~39세,0,0,0
2018,서울,강북구,여,40~49세,0,0,0
2018,서울,강북구,여,50~59세,0,0,0
2018,서울,강북구,여,60~69세,48,1124,75786670
2018,서울,강북구,여,70~79세,300,7838,550408040
2018,서울,강북구,여,80~89세,544,23412,1684911380
2018,서울,강북구,여,90~99세,156,9358,678855660
2018,서울,강북구,여,100세 이상,0,0,0
2018,서울,금천구,남,0~9세,0,0,0
2018,서울,금천구,남,10~19세,0,0,0
2018,서울,금천구,남,20~29세,0,0,0
2018,서울,금천구,남,30~39세,0,0,0
2018,서울,금천구,남,40~49세,0,0,0
2018,서울,금천구,남,50~59세,0,0,0
2018,서울,금천구,남,60~69세,42,1345,103549830
2018,서울,금천구,남,70~79세,113,2496,205475090
2018,서울,금천구,남,80~89세,107,2943,217083230
2018,서울,금천구,남,90~99세,19,557,41134140
2018,서울,금천구,남,100세 이상,0,0,0
2018,서울,금천구,여,0~9세,0,0,0
2018,서울,금천구,여,10~19세,0,0,0
2018,서울,금천구,여,20~29세,0,0,0
2018,서울,금천구,여,30~39세,0,0,0
2018,서울,금천구,여,40~49세,0,0,0
2018,서울,금천구,여,50~59세,10,256,21020270
2018,서울,금천구,여,60~69세,30,895,66563770
2018,서울,금천구,여,70~79세,232,7806,558785160
2018,서울,금천구,여,80~89세,469,17432,1258015560
2018,서울,금천구,여,90~99세,122,7143,515907830
2018,서울,금천구,여,100세 이상,0,0,0
2018,부산,부산남구,남,0~9세,0,0,0
2018,부산,부산남구,남,10~19세,0,0,0
2018,부산,부산남구,남,20~29세,0,0,0
2018,부산,부산남구,남,30~39세,0,0,0
2018,부산,부산남구,남,40~49세,0,0,0
2018,부산,부산남구,남,50~59세,0,0,0
2018,부산,부산남구,남,60~69세,71,2892,214258410
2018,부산,부산남구,남,70~79세,240,15247,1143468080
2018,부산,부산남구,남,80~89세,255,20121,1515691110
2018,부산,부산남구,남,90~99세,36,3132,242978980
